"(PDH-CSV 4.0) (Hora verano Sudamérica Pacífico)(180)","\\OMEN2025\Disco lógico(_Total)\% de tiempo de disco","\\OMEN2025\Disco lógico(_Total)\Escrituras en disco/s","\\OMEN2025\Disco lógico(_Total)\Lecturas de disco/s","\\OMEN2025\Disco lógico(_Total)\Promedio de segundos de disco/escritura","\\OMEN2025\Disco lógico(_Total)\Promedio de segundos de disco/lectura","\\OMEN2025\Interfaz de red(Realtek USB GbE Family Controller)\Paquetes de salida con errores","\\OMEN2025\Interfaz de red(Realtek Gaming GbE Family Controller)\Paquetes de salida con errores","\\OMEN2025\Interfaz de red(Intel[R] Wi-Fi 6 AX201 160MHz)\Paquetes de salida con errores","\\OMEN2025\Interfaz de red(Realtek USB GbE Family Controller)\Paquetes recibidos con errores","\\OMEN2025\Interfaz de red(Realtek Gaming GbE Family Controller)\Paquetes recibidos con errores","\\OMEN2025\Interfaz de red(Intel[R] Wi-Fi 6 AX201 160MHz)\Paquetes recibidos con errores","\\OMEN2025\Interfaz de red(Realtek USB GbE Family Controller)\Total de bytes/s","\\OMEN2025\Interfaz de red(Realtek Gaming GbE Family Controller)\Total de bytes/s","\\OMEN2025\Interfaz de red(Intel[R] Wi-Fi 6 AX201 160MHz)\Total de bytes/s","\\OMEN2025\Memoria\Mbytes disponibles","\\OMEN2025\Memoria\Páginas/s","\\OMEN2025\Procesador(_Total)\% de tiempo de procesador","\\OMEN2025\Sistema\Longitud de la cola del procesador"
"12/14/2025 23:28:08.657","0.10147842545550267435","2.1966579606455143292","0.19969617824050131527","0.0013674454545454545629","0.00020320000000000000605","0","0","0","0","0","0","0","0","11493.912930988533844","13570","0","3.7023200471820616464","0"
"12/14/2025 23:28:13.651","0.13018162542723135666","4.2056013563344745165","0","0.00092861428571428580436","0","0","0","0","0","0","0","0","0","6859.5360789127826138","13570","0","2.6812091656612135893","0"
"12/14/2025 23:28:18.664","0.22408607777773631442","5.1863968072700838974","0","0.0012962230769230768425","0","0","0","0","0","0","0","0","0","6610.8606380668406928","13571","0","5.7575939578223049864","0"
"12/14/2025 23:28:23.650","0.17784788732575163017","6.01688651233459737","0.20056288374448658085","0.00088221000000000002542","0.00013469999999999999443","0","0","0","0","0","0","0","0","10584.906752499024151","13532","0.4011257674889731617","13.933905611611308473","0"
"12/14/2025 23:28:28.667","0.16854436581330609068","2.3918684604696798246","0.19932237170580663355","0.0018126416666666665678","0.0036169000000000001496","0","0","0","0","0","0","0","0","8469.6062185231348849","13552","0","15.291318239096652221","0"
"12/14/2025 23:28:33.666","0.15728254931881069378","5.0012029893670630898","0.40009623914936504052","0.00091628399999999995702","0.00034000000000000002442","0","0","0","0","0","0","0","0","7563.2192567600213806","13542","0.20004811957468252026","10.526082050946994784","0"
"12/14/2025 23:28:38.646","0.10547893690307785786","11.244893437867736097","0","0.00028140535714285715152","0","0","0","0","0","0","0","0","0","6339.5094772664697302","13547","0","11.325814153056889211","0"
"12/14/2025 23:28:43.649","0.63965752745893800224","19.187888221197017202","0","0.0010000729166666666881","0","0","0","0","0","0","0","0","0","8431.6777563666255446","13552","0","12.709535591093768403","0"
"12/14/2025 23:28:48.665","0.25380933285053247639","7.1764539111883127731","0","0.0010609833333333333096","0","0","0","0","0","0","0","0","0","5857.1824671815284091","13561","0.19934594197745314492","6.1260631672218295307","0"
"12/14/2025 23:28:53.664","0.72793417647898117639","15.402785747830353813","0","0.0014178467532467533326","0","0","0","0","0","0","0","0","0","15062.924280485369309","13559","0","6.9395522030843430628","0"
"12/14/2025 23:28:58.662","0.25102682377190604912","4.4021388231686247039","0.40019443846987501345","0.0016881363636363636623","0.00024810000000000001323","0","0","0","0","0","0","0","0","6544.7798467363354575","13562","6.8033054539878747846","8.9383678422012344811","0"
"12/14/2025 23:29:03.651","0.43244550653691871123","11.624777282796097566","1.2025631671858032501","0.0011004982758620689663","0.0001501166666666666654","0","0","0","0","0","0","0","0","5683.5139553146373146","13549","29.262370401521213381","11.022981165874412568","0"
"12/14/2025 23:29:08.649","0.26843623198802069041","16.808054756000171182","0.80038355980953201918","0.00041824404761904760992","0.0012784249999999999173","0","0","0","0","0","0","0","0","94622.945207802491495","13554","3.4016301291905111093","12.809911294625441869","0"
"12/14/2025 23:29:13.652","2.0347783388950957395","88.140790542545133235","125.71554932258706572","0.00033596099773242630226","0.00025002400635930045964","0","0","0","0","0","0","0","0","6330.5473914842968952","13489","630.17667251846899035","21.030108745066499409","0"
"12/14/2025 23:29:18.655","1.6277028668300725922","102.73600163514140604","210.468890509346096","7.0836381322957202885e-005","0.00019743361823361822152","0","0","0","0","0","0","0","0","6371.2311052952672981","13445","1008.7715958220985613","21.611387841858544334","0"
"12/14/2025 23:29:23.644","1.0698449034675334701","54.720463817867205591","137.70314521199549063","7.0983150183150185079e-005","0.00020486666666666664095","0","0","0","0","0","0","0","0","5967.7376162980226582","13439","529.7662486103407673","17.786863300629040197","0"
"12/14/2025 23:29:28.660","0.69472117456603821317","46.654044687357391297","11.962575560860869928","0.00018207136752136751819","0.0010321666666666666923","0","0","0","0","0","0","0","0","7521.6687601506200735","13445","29.108933864761450394","8.8403239058797993266","0"
"12/14/2025 23:29:33.651","0.48390710256279662049","148.86189571036115353","17.63101860364977469","8.0049932705248991551e-005","0.00014750795454545454258","0","0","0","0","0","0","0","0","5756.1268691233863137","13496","6.2109270081038978617","16.2974048181059743","0"
"12/14/2025 23:29:38.666","0.076926833619459178415","1.5952810310875604749","0","0.0014466125000000000685","0","0","0","0","0","0","0","0","0","20685.809719983510149","13492","0","4.3814394391328725931","0"
"12/14/2025 23:29:43.667","2.4312391370604369278","23.593032505640433527","0.39988190687526159461","0.003059861864406779753","0.0018708500000000000737","0","0","0","0","0","0","0","0","12687.853023245173972","13497","0","3.6643869605298196035","0"
